id;imagePath;p1;p2;p3;p4;isCopy
000225.jpg153938;../dlc-2021/cg/clips/images/fin_id/07.cg0002/000225.jpg;413.000000,1898.000000;1651.000000,1886.000000;1671.000000,2677.000000;398.000000,2694.000000;1
000358.jpg60512;../dlc-2021/cg/clips/images/fin_id/06.cg0001/000358.jpg;106.000000,554.000000;1015.000000,540.000000;1030.000000,1123.000000;91.000000,1128.000000;1
000049.jpg374259;../dlc-2021/cg/clips/images/fin_id/04.cg0001/000049.jpg;294.000000,1184.000000;1740.000000,1203.000000;1698.000000,2067.000000;329.000000,2094.000000;1
000076.jpg139699;../dlc-2021/cg/clips/images/fin_id/04.cg0005/000076.jpg;443.000000,1625.000000;1887.000000,1757.000000;1766.000000,2638.000000;386.000000,2493.000000;1
000225.jpg29445;../dlc-2021/cg/clips/images/fin_id/00.cg0001/000225.jpg;268.000000,672.000000;858.000000,655.000000;865.000000,1024.000000;279.000000,1040.000000;1
000225.jpg35886;../dlc-2021/cg/clips/images/rus_internalpassport/01.cg0001/000225.jpg;71.000000,306.000000;1022.000000,304.000000;1053.000000,964.000000;62.000000,976.000000;1
000401.jpg137840;../dlc-2021/cg/clips/images/rus_internalpassport/02.cg0003/000401.jpg;212.000000,1093.000000;2005.000000,1160.000000;1955.000000,2395.000000;188.000000,2365.000000;1
000076.jpg135999;../dlc-2021/cg/clips/images/rus_internalpassport/05.cg0002/000076.jpg;136.000000,1338.000000;1858.000000,1332.000000;1871.000000,2513.000000;163.000000,2587.000000;1
000076.jpg135435;../dlc-2021/cg/clips/images/rus_internalpassport/04.cg0003/000076.jpg;146.000000,1124.000000;1873.000000,1043.000000;1898.000000,2169.000000;292.000000,2315.000000;1
000125.jpg172322;../dlc-2021/cg/clips/images/rus_internalpassport/04.cg0007/000125.jpg;479.000000,2555.000000;561.000000,837.000000;1600.000000,1029.000000;1575.000000,2540.000000;1
000225.jpg131913;../dlc-2021/cg/clips/images/rus_internalpassport/02.cg0001/000225.jpg;282.000000,1103.000000;1845.000000,1113.000000;1838.000000,2196.000000;288.000000,2204.000000;1
000225.jpg40202;../dlc-2021/cg/clips/images/rus_internalpassport/03.cg0002/000225.jpg;90.000000,499.000000;931.000000,492.000000;950.000000,1078.000000;93.000000,1094.000000;1
000225.jpg41063;../dlc-2021/cg/clips/images/rus_internalpassport/00.cg0002/000225.jpg;116.000000,682.000000;941.000000,656.000000;984.000000,1238.000000;117.000000,1271.000000;1
000325.jpg160599;../dlc-2021/cg/clips/images/rus_internalpassport/06.cg0002/000325.jpg;277.000000,1202.000000;2063.000000,1219.000000;2070.000000,2497.000000;230.000000,2461.000000;1
000125.jpg151698;../dlc-2021/cg/clips/images/rus_internalpassport/04.cg0006/000125.jpg;383.000000,1144.000000;1930.000000,1268.000000;1985.000000,2347.000000;346.000000,2360.000000;1
000076.jpg38582;../dlc-2021/cg/clips/images/rus_internalpassport/03.cg0001/000076.jpg;139.000000,675.000000;954.000000,641.000000;999.000000,1225.000000;139.000000,1248.000000;1
000225.jpg177632;../dlc-2021/cg/clips/images/rus_internalpassport/04.cg0004/000225.jpg;234.000000,1091.000000;2072.000000,1116.000000;2073.000000,2416.000000;224.000000,2390.000000;1
000076.jpg39881;../dlc-2021/cg/clips/images/rus_internalpassport/01.cg0002/000076.jpg;67.000000,269.000000;971.000000,303.000000;992.000000,920.000000;58.000000,919.000000;1
000076.jpg104223;../dlc-2021/cg/clips/images/rus_internalpassport/06.cg0003/000076.jpg;281.000000,1239.000000;2007.000000,1341.000000;1921.000000,2495.000000;265.000000,2477.000000;1
000225.jpg50895;../dlc-2021/cg/clips/images/rus_internalpassport/04.cg0002/000225.jpg;53.000000,668.000000;1008.000000,670.000000;1025.000000,1339.000000;55.000000,1356.000000;1
000325.jpg162014;../dlc-2021/cg/clips/images/rus_internalpassport/02.cg0002/000325.jpg;506.000000,1728.000000;1837.000000,1679.000000;1895.000000,2623.000000;526.000000,2691.000000;1
000225.jpg129372;../dlc-2021/cg/clips/images/rus_internalpassport/02.cg0004/000225.jpg;535.000000,1405.000000;1964.000000,1437.000000;1935.000000,2457.000000;494.000000,2389.000000;1
000225.jpg250540;../dlc-2021/cg/clips/images/rus_internalpassport/07.cg0001/000225.jpg;305.000000,1357.000000;1931.000000,1312.000000;1945.000000,2457.000000;333.000000,2483.000000;1
000325.jpg109282;../dlc-2021/cg/clips/images/rus_internalpassport/06.cg0004/000325.jpg;235.000000,1225.000000;2045.000000,1174.000000;2071.000000,2445.000000;284.000000,2487.000000;1
000076.jpg232544;../dlc-2021/cg/clips/images/rus_internalpassport/05.cg0001/000076.jpg;284.000000,1277.000000;1931.000000,1363.000000;1943.000000,2521.000000;206.000000,2483.000000;1
000401.jpg223492;../dlc-2021/cg/clips/images/rus_internalpassport/07.cg0002/000401.jpg;427.000000,1485.000000;2092.000000,1451.000000;2100.000000,2631.000000;443.000000,2634.000000;1
000225.jpg157158;../dlc-2021/cg/clips/images/rus_internalpassport/06.cg0001/000225.jpg;-66.000000,1372.000000;1690.000000,1329.000000;1745.000000,2571.000000;-47.000000,2614.000000;1
000210.jpg55731;../dlc-2021/cg/clips/images/rus_internalpassport/04.cg0001/000210.jpg;96.000000,504.000000;941.000000,453.000000;988.000000,1055.000000;112.000000,1099.000000;1
000125.jpg186096;../dlc-2021/cg/clips/images/rus_internalpassport/04.cg0005/000125.jpg;1626.000000,1200.000000;1623.000000,2771.000000;500.000000,2766.000000;524.000000,1178.000000;1
000225.jpg42686;../dlc-2021/cg/clips/images/rus_internalpassport/00.cg0001/000225.jpg;193.000000,706.000000;864.000000,677.000000;917.000000,1139.000000;200.000000,1186.000000;1
000076.jpg141607;../dlc-2021/cg/clips/images/alb_id/01.cg0001/000076.jpg;256.000000,1581.000000;1376.000000,1588.000000;1415.000000,2273.000000;232.000000,2300.000000;1
000325.jpg247734;../dlc-2021/cg/clips/images/alb_id/02.cg0003/000325.jpg;301.000000,1573.000000;1614.000000,1518.000000;1665.000000,2333.000000;334.000000,2404.000000;1
000076.jpg99546;../dlc-2021/cg/clips/images/alb_id/05.cg0002/000076.jpg;130.000000,906.000000;867.000000,798.000000;948.000000,1273.000000;175.000000,1382.000000;1
000125.jpg280318;../dlc-2021/cg/clips/images/alb_id/04.cg0003/000125.jpg;1484.000000,1564.000000;1418.000000,2583.000000;779.000000,2531.000000;855.000000,1524.000000;1
000076.jpg67815;../dlc-2021/cg/clips/images/alb_id/04.cg0007/000076.jpg;124.000000,692.000000;875.000000,689.000000;885.000000,1162.000000;114.000000,1165.000000;1
000225.jpg204853;../dlc-2021/cg/clips/images/alb_id/02.cg0001/000225.jpg;286.000000,1246.000000;1334.000000,1225.000000;1351.000000,1875.000000;304.000000,1902.000000;1
000325.jpg190313;../dlc-2021/cg/clips/images/alb_id/03.cg0002/000325.jpg;479.000000,1522.000000;1802.000000,1479.000000;1811.000000,2344.000000;492.000000,2332.000000;1
000076.jpg43920;../dlc-2021/cg/clips/images/alb_id/00.cg0002/000076.jpg;195.000000,584.000000;977.000000,565.000000;1003.000000,1046.000000;216.000000,1085.000000;1
000225.jpg47859;../dlc-2021/cg/clips/images/alb_id/06.cg0002/000225.jpg;104.000000,613.000000;879.000000,630.000000;872.000000,1122.000000;85.000000,1101.000000;1
000225.jpg63787;../dlc-2021/cg/clips/images/alb_id/04.cg0006/000225.jpg;106.000000,751.000000;869.000000,755.000000;881.000000,1241.000000;84.000000,1239.000000;1
000225.jpg107609;../dlc-2021/cg/clips/images/alb_id/03.cg0003/000225.jpg;339.000000,1497.000000;1722.000000,1443.000000;1765.000000,2308.000000;367.000000,2372.000000;1
000225.jpg172113;../dlc-2021/cg/clips/images/alb_id/03.cg0001/000225.jpg;548.000000,1446.000000;1740.000000,1410.000000;1764.000000,2148.000000;576.000000,2187.000000;1
000401.jpg164531;../dlc-2021/cg/clips/images/alb_id/04.cg0004/000401.jpg;328.000000,1123.000000;1961.000000,1143.000000;1884.000000,2263.000000;293.000000,2111.000000;1
000076.jpg110349;../dlc-2021/cg/clips/images/alb_id/01.cg0002/000076.jpg;615.000000,1985.000000;1668.000000,1972.000000;1679.000000,2637.000000;613.000000,2659.000000;1
000210.jpg91853;../dlc-2021/cg/clips/images/alb_id/04.cg0002/000210.jpg;435.000000,1333.000000;1977.000000,1314.000000;1970.000000,2267.000000;461.000000,2291.000000;1
000325.jpg240106;../dlc-2021/cg/clips/images/alb_id/02.cg0002/000325.jpg;464.000000,1189.000000;1378.000000,1261.000000;1339.000000,1825.000000;429.000000,1763.000000;1
000225.jpg201583;../dlc-2021/cg/clips/images/alb_id/02.cg0004/000225.jpg;414.000000,1296.000000;1633.000000,1274.000000;1655.000000,2021.000000;450.000000,2073.000000;1
000225.jpg413505;../dlc-2021/cg/clips/images/alb_id/07.cg0001/000225.jpg;198.000000,1165.000000;1778.000000,1106.000000;1795.000000,2080.000000;260.000000,2159.000000;1
000076.jpg96833;../dlc-2021/cg/clips/images/alb_id/05.cg0001/000076.jpg;187.000000,834.000000;896.000000,829.000000;917.000000,1279.000000;179.000000,1294.000000;1
000325.jpg396058;../dlc-2021/cg/clips/images/alb_id/07.cg0002/000325.jpg;235.000000,1386.000000;1821.000000,1284.000000;1866.000000,2255.000000;323.000000,2377.000000;1
000225.jpg52890;../dlc-2021/cg/clips/images/alb_id/06.cg0001/000225.jpg;104.000000,673.000000;1000.000000,696.000000;995.000000,1270.000000;84.000000,1241.000000;1
000325.jpg90289;../dlc-2021/cg/clips/images/alb_id/03.cg0004/000325.jpg;386.000000,1379.000000;1804.000000,1385.000000;1797.000000,2263.000000;397.000000,2267.000000;1
000225.jpg159458;../dlc-2021/cg/clips/images/alb_id/04.cg0001/000225.jpg;249.000000,1653.000000;1574.000000,1643.000000;1604.000000,2466.000000;272.000000,2519.000000;1
000125.jpg191828;../dlc-2021/cg/clips/images/alb_id/04.cg0005/000125.jpg;716.000000,2341.000000;721.000000,1125.000000;1429.000000,1165.000000;1380.000000,2278.000000;1
000225.jpg39358;../dlc-2021/cg/clips/images/alb_id/00.cg0001/000225.jpg;114.000000,282.000000;943.000000,285.000000;945.000000,798.000000;121.000000,808.000000;1
000076.jpg122599;../dlc-2021/cg/clips/images/est_id/01.cg0001/000076.jpg;537.000000,1524.000000;1509.000000,1518.000000;1499.000000,2112.000000;548.000000,2125.000000;1
000225.jpg62036;../dlc-2021/cg/clips/images/est_id/05.cg0002/000225.jpg;96.000000,619.000000;968.000000,623.000000;969.000000,1185.000000;64.000000,1163.000000;1
000225.jpg139202;../dlc-2021/cg/clips/images/est_id/04.cg0003/000225.jpg;455.000000,1409.000000;1854.000000,1470.000000;1787.000000,2363.000000;409.000000,2255.000000;1
000225.jpg144712;../dlc-2021/cg/clips/images/est_id/04.cg0007/000225.jpg;702.000000,2320.000000;891.000000,1188.000000;1605.000000,1194.000000;1438.000000,2431.000000;1
000076.jpg172424;../dlc-2021/cg/clips/images/est_id/02.cg0001/000076.jpg;490.000000,1476.000000;1695.000000,1417.000000;1709.000000,2175.000000;523.000000,2200.000000;1
000401.jpg87656;../dlc-2021/cg/clips/images/est_id/01.cg0004/000401.jpg;552.000000,1961.000000;1558.000000,1962.000000;1562.000000,2592.000000;548.000000,2593.000000;1
000225.jpg112158;../dlc-2021/cg/clips/images/est_id/03.cg0002/000225.jpg;331.000000,1395.000000;1844.000000,1435.000000;1828.000000,2343.000000;336.000000,2363.000000;1
000325.jpg96523;../dlc-2021/cg/clips/images/est_id/00.cg0002/000325.jpg;311.000000,1235.000000;1653.000000,1374.000000;1601.000000,2174.000000;264.000000,2126.000000;1
000225.jpg76167;../dlc-2021/cg/clips/images/est_id/06.cg0002/000225.jpg;132.000000,691.000000;938.000000,691.000000;950.000000,1194.000000;99.000000,1190.000000;1
000125.jpg164645;../dlc-2021/cg/clips/images/est_id/04.cg0006/000125.jpg;447.000000,1380.000000;1916.000000,1388.000000;1853.000000,2422.000000;355.000000,2271.000000;1
000076.jpg98605;../dlc-2021/cg/clips/images/est_id/01.cg0003/000076.jpg;514.000000,1472.000000;1670.000000,1457.000000;1685.000000,2174.000000;517.000000,2189.000000;1
000125.jpg92465;../dlc-2021/cg/clips/images/est_id/00.cg0003/000125.jpg;219.000000,1288.000000;1827.000000,1298.000000;1795.000000,2287.000000;234.000000,2255.000000;1
000076.jpg126477;../dlc-2021/cg/clips/images/est_id/03.cg0001/000076.jpg;387.000000,1336.000000;1757.000000,1349.000000;1751.000000,2200.000000;384.000000,2186.000000;1
000225.jpg129243;../dlc-2021/cg/clips/images/est_id/04.cg0004/000225.jpg;201.000000,1643.000000;1816.000000,1653.000000;1819.000000,2678.000000;192.000000,2663.000000;1
000325.jpg90911;../dlc-2021/cg/clips/images/est_id/00.cg0004/000325.jpg;233.000000,1482.000000;1895.000000,1522.000000;1832.000000,2494.000000;262.000000,2476.000000;1
000325.jpg106730;../dlc-2021/cg/clips/images/est_id/01.cg0002/000325.jpg;536.000000,1694.000000;1495.000000,1674.000000;1501.000000,2275.000000;549.000000,2279.000000;1
000225.jpg75471;../dlc-2021/cg/clips/images/est_id/04.cg0002/000225.jpg;185.000000,856.000000;892.000000,826.000000;942.000000,1271.000000;194.000000,1316.000000;1
000401.jpg185262;../dlc-2021/cg/clips/images/est_id/02.cg0002/000401.jpg;506.000000,1742.000000;1643.000000,1821.000000;1599.000000,2534.000000;462.000000,2444.000000;1
000225.jpg90607;../dlc-2021/cg/clips/images/est_id/07.cg0001/000225.jpg;49.000000,361.000000;983.000000,370.000000;988.000000,949.000000;28.000000,939.000000;1
000125.jpg57177;../dlc-2021/cg/clips/images/est_id/05.cg0001/000125.jpg;76.000000,608.000000;951.000000,603.000000;979.000000,1155.000000;54.000000,1164.000000;1
000225.jpg97570;../dlc-2021/cg/clips/images/est_id/07.cg0002/000225.jpg;125.000000,425.000000;974.000000,431.000000;982.000000,952.000000;106.000000,946.000000;1
000225.jpg41590;../dlc-2021/cg/clips/images/est_id/06.cg0001/000225.jpg;102.000000,350.000000;895.000000,334.000000;906.000000,822.000000;100.000000,838.000000;1
000076.jpg80340;../dlc-2021/cg/clips/images/est_id/04.cg0001/000076.jpg;96.000000,697.000000;906.000000,648.000000;962.000000,1154.000000;121.000000,1230.000000;1
000325.jpg162431;../dlc-2021/cg/clips/images/est_id/04.cg0005/000325.jpg;1505.000000,1299.000000;1529.000000,2522.000000;742.000000,2529.000000;748.000000,1297.000000;1
000225.jpg134751;../dlc-2021/cg/clips/images/est_id/00.cg0001/000225.jpg;120.000000,1121.000000;1862.000000,1123.000000;1824.000000,2180.000000;160.000000,2172.000000;1
000076.jpg183227;../dlc-2021/cg/clips/images/aze_passport/01.cg0001/000076.jpg;536.000000,1541.000000;1889.000000,1543.000000;1884.000000,2474.000000;541.000000,2487.000000;1
000325.jpg385841;../dlc-2021/cg/clips/images/aze_passport/05.cg0002/000325.jpg;399.000000,1495.000000;1462.000000,1493.000000;1491.000000,2240.000000;386.000000,2262.000000;1
000225.jpg163218;../dlc-2021/cg/clips/images/aze_passport/04.cg0003/000225.jpg;258.000000,1435.000000;1883.000000,1492.000000;1896.000000,2637.000000;223.000000,2614.000000;1
000125.jpg168047;../dlc-2021/cg/clips/images/aze_passport/04.cg0007/000125.jpg;561.000000,2514.000000;714.000000,1255.000000;1586.000000,1226.000000;1485.000000,2618.000000;1
000076.jpg153527;../dlc-2021/cg/clips/images/aze_passport/02.cg0001/000076.jpg;159.000000,1300.000000;1896.000000,1409.000000;1878.000000,2597.000000;100.000000,2586.000000;1
000325.jpg245843;../dlc-2021/cg/clips/images/aze_passport/05.cg0003/000325.jpg;104.000000,1209.000000;1873.000000,1206.000000;1875.000000,2429.000000;160.000000,2459.000000;1
000225.jpg52403;../dlc-2021/cg/clips/images/aze_passport/03.cg0002/000225.jpg;70.000000,149.000000;1032.000000,176.000000;1060.000000,826.000000;68.000000,835.000000;1
000225.jpg220039;../dlc-2021/cg/clips/images/aze_passport/05.cg0004/000225.jpg;143.000000,1108.000000;1639.000000,1026.000000;1719.000000,2087.000000;196.000000,2175.000000;1
000225.jpg53231;../dlc-2021/cg/clips/images/aze_passport/00.cg0002/000225.jpg;198.000000,761.000000;922.000000,738.000000;978.000000,1240.000000;199.000000,1280.000000;1
000225.jpg71558;../dlc-2021/cg/clips/images/aze_passport/06.cg0002/000225.jpg;42.000000,545.000000;963.000000,529.000000;990.000000,1176.000000;35.000000,1192.000000;1
000225.jpg183753;../dlc-2021/cg/clips/images/aze_passport/04.cg0006/000225.jpg;327.000000,1199.000000;2001.000000,1173.000000;1932.000000,2498.000000;274.000000,2327.000000;1
000225.jpg51114;../dlc-2021/cg/clips/images/aze_passport/03.cg0001/000225.jpg;53.000000,352.000000;954.000000,356.000000;959.000000,978.000000;57.000000,985.000000;1
000049.jpg192146;../dlc-2021/cg/clips/images/aze_passport/04.cg0004/000049.jpg;252.000000,1200.000000;2025.000000,1287.000000;1996.000000,2526.000000;189.000000,2473.000000;1
000076.jpg120105;../dlc-2021/cg/clips/images/aze_passport/07.cg0003/000076.jpg;205.000000,1240.000000;1879.000000,1159.000000;1926.000000,2340.000000;276.000000,2404.000000;1
000325.jpg148465;../dlc-2021/cg/clips/images/aze_passport/01.cg0002/000325.jpg;442.000000,1422.000000;2006.000000,1486.000000;1958.000000,2563.000000;418.000000,2502.000000;1
000225.jpg57287;../dlc-2021/cg/clips/images/aze_passport/04.cg0002/000225.jpg;84.000000,634.000000;1027.000000,617.000000;1048.000000,1280.000000;83.000000,1295.000000;1
000076.jpg133756;../dlc-2021/cg/clips/images/aze_passport/02.cg0002/000076.jpg;236.000000,1331.000000;1886.000000,1396.000000;1874.000000,2526.000000;213.000000,2517.000000;1
000225.jpg209381;../dlc-2021/cg/clips/images/aze_passport/07.cg0001/000225.jpg;179.000000,1090.000000;2071.000000,1083.000000;2043.000000,2425.000000;198.000000,2386.000000;1
000225.jpg305748;../dlc-2021/cg/clips/images/aze_passport/05.cg0001/000225.jpg;285.000000,1525.000000;1625.000000,1476.000000;1726.000000,2418.000000;306.000000,2509.000000;1
000401.jpg74453;../dlc-2021/cg/clips/images/aze_passport/07.cg0004/000401.jpg;148.000000,1173.000000;1908.000000,1193.000000;1884.000000,2415.000000;164.000000,2394.000000;1
000325.jpg206721;../dlc-2021/cg/clips/images/aze_passport/07.cg0002/000325.jpg;280.000000,1262.000000;2073.000000,1272.000000;2069.000000,2538.000000;277.000000,2516.000000;1
000225.jpg63473;../dlc-2021/cg/clips/images/aze_passport/06.cg0001/000225.jpg;81.000000,517.000000;994.000000,501.000000;1023.000000,1144.000000;72.000000,1158.000000;1
000225.jpg75590;../dlc-2021/cg/clips/images/aze_passport/04.cg0001/000225.jpg;98.000000,334.000000;932.000000,290.000000;949.000000,880.000000;120.000000,909.000000;1
000225.jpg199792;../dlc-2021/cg/clips/images/aze_passport/04.cg0005/000225.jpg;1745.000000,1146.000000;1698.000000,2753.000000;558.000000,2692.000000;641.000000,1114.000000;1
000076.jpg41027;../dlc-2021/cg/clips/images/aze_passport/00.cg0001/000076.jpg;177.000000,660.000000;928.000000,639.000000;962.000000,1170.000000;167.000000,1182.000000;1
000076.jpg156080;../dlc-2021/cg/clips/images/esp_id/01.cg0001/000076.jpg;880.000000,1849.000000;1860.000000,1862.000000;1860.000000,2477.000000;869.000000,2456.000000;1
000076.jpg121806;../dlc-2021/cg/clips/images/esp_id/02.cg0003/000076.jpg;416.000000,1508.000000;1867.000000,1498.000000;1839.000000,2367.000000;432.000000,2381.000000;1
